UNITID,EFFYLEV,LSTUDY,EFYTOTLM,EFYTOTLW,EFYTOTLT
100654,1,999,2800,3373,6173
100654,2,1,2474,2634,5108
100654,4,3,326,739,1065
100663,1,999,8098,12297,20395
100663,2,1,5368,7305,12673
100663,4,3,2730,4992,7722
100690,1,999,516,581,1097
100690,2,1,293,277,570
100690,4,3,223,304,527
100706,1,999,4986,4116,9102
100706,2,1,3802,3392,7194
100706,4,3,1184,724,1908
100724,1,999,2579,4046,6625
100724,2,1,2271,3222,5493
100724,4,3,308,824,1132
100751,1,999,14382,16231,30613
100751,2,1,11988,12977,24965
100751,4,3,2394,3254,5648
100760,1,999,1175,2248,3423
100760,2,1,1175,2248,3423
100812,1,999,1741,3177,4918
100812,2,1,1741,3177,4918
100830,1,999,2633,4594,7227
100830,2,1,2245,3696,5941
100830,4,3,388,898,1286
100858,1,999,13648,12816,26464
100858,2,1,10965,10074,21039
100858,4,3,2683,2742,5425
100937,1,999,803,808,1611
100937,2,1,781,785,1566
100937,4,3,22,23,45
101028,1,999,919,1818,2737
101028,2,1,919,1818,2737
101073,1,999,415,313,728
101073,2,1,415,313,728
101116,1,999,261,812,1073
101116,2,1,250,752,1002
101116,4,3,11,60,71
101143,1,999,2414,1698,4112
101143,2,1,2414,1698,4112
101161,1,999,2409,4148,6557
101161,2,1,2409,4148,6557
101189,1,999,1526,2549,4075
101189,2,1,1237,2269,3506
101189,4,3,289,280,569
101240,1,999,3926,6093,10019
101240,2,1,3926,6093,10019
101286,1,999,2291,4550,6841
101286,2,1,2291,4550,6841
101295,1,999,3217,5541,8758
101295,2,1,3217,5541,8758
101301,1,999,1095,2134,3229
101301,2,1,1095,2134,3229
101365,1,999,214,502,716
101365,2,1,214,502,716
101435,1,999,584,649,1233
101435,2,1,584,649,1233
101453,1,999,112,12,124
101453,2,1,73,10,83
101453,4,3,39,2,41
101462,1,999,916,1152,2068
101462,2,1,916,1152,2068
101471,1,999,700,353,1053
101471,2,1,700,353,1053
101480,1,999,4727,6652,11379
101480,2,1,4026,5385,9411
101480,4,3,701,1267,1968
101499,1,999,922,1206,2128
101499,2,1,922,1206,2128
101505,1,999,5498,8390,13888
101505,2,1,5498,8390,13888
101514,1,999,7287,9430,16717
101514,2,1,7287,9430,16717
101541,1,999,22,320,342
101541,2,1,22,320,342
101569,1,999,2508,4129,6637
101569,2,1,2508,4129,6637
101587,1,999,1505,4885,6390
101587,2,1,886,1347,2233
101587,4,3,619,3538,4157
101602,1,999,917,1655,2572
101602,2,1,917,1655,2572
101648,1,999,389,159,548
101648,2,1,389,159,548
101675,1,999,963,1126,2089
101675,2,1,963,1126,2089
101693,1,999,616,1368,1984
101693,2,1,561,1172,1733
101693,4,3,55,196,251
101709,1,999,1069,2424,3493
101709,2,1,924,1909,2833
101709,4,3,145,515,660
101736,1,999,2627,3635,6262
101736,2,1,2627,3635,6262
101879,1,999,3794,4891,8685
101879,2,1,3130,4076,7206
101879,4,3,664,815,1479
101897,1,999,1751,2906,4657
101897,2,1,1751,2906,4657
101912,1,999,852,1157,2009
101912,2,1,821,1127,1948
101912,4,3,31,30,61
101949,1,999,735,1331,2066
101949,2,1,735,1331,2066
101958,1,999,7,126,133
101958,2,1,7,126,133
101994,1,999,458,653,1111
101994,2,1,458,653,1111
102030,1,999,2138,3773,5911
102030,2,1,2138,3773,5911
102049,1,999,2073,3072,5145
102049,2,1,1120,1966,3086
102049,4,3,953,1106,2059
102058,1,999,256,311,567
102058,2,1,233,303,536
102058,4,3,23,8,31
102067,1,999,4573,5116,9689
102067,2,1,4573,5116,9689
102076,1,999,1169,2218,3387
102076,2,1,1169,2218,3387
102094,1,999,6863,10509,17372
102094,2,1,5832,7718,13550
102094,4,3,1031,2791,3822
102234,1,999,666,1083,1749
102234,2,1,561,890,1451
102234,4,3,105,193,298
102261,1,999,145,94,239
102261,2,1,145,94,239
102270,1,999,520,665,1185
102270,2,1,520,665,1185
102298,1,999,315,465,780
102298,2,1,315,465,780
102313,1,999,1330,1252,2582
102313,2,1,1330,1252,2582
102368,1,999,14788,23252,38040
102368,2,1,11365,16408,27773
102368,4,3,3423,6844,10267
102377,1,999,1593,2240,3833
102377,2,1,1400,1840,3240
102377,4,3,193,400,593
102395,1,999,736,343,1079
102395,2,1,200,51,251
102395,4,3,536,292,828
102429,1,999,2399,4225,6624
102429,2,1,2399,4225,6624
102553,1,999,11061,16848,27909
102553,2,1,10548,15808,26356
102553,4,3,513,1040,1553
102580,1,999,21,16,37
102580,2,1,21,16,37
102614,1,999,6298,9366,15664
102614,2,1,5693,8496,14189
102614,4,3,605,870,1475
102632,1,999,2243,4193,6436
102632,2,1,2054,3754,5808
102632,4,3,189,439,628
102669,1,999,281,608,889
102669,2,1,184,404,588
102669,4,3,97,204,301
102711,1,999,845,258,1103
102711,2,1,845,258,1103
102845,1,999,940,2716,3656
102845,2,1,940,2716,3656
103361,1,999,1358,907,2265
103361,2,1,1358,907,2265
103501,1,999,86,469,555
103501,2,1,86,469,555
103644,1,999,3834,8411,12245
103644,2,1,3834,8411,12245
103723,1,999,1434,422,1856
103723,2,1,1434,422,1856
103732,1,999,15,158,173
103732,2,1,15,158,173
103741,1,999,26,364,390
103741,2,1,26,364,390
103778,1,999,1022,465,1487
103778,2,1,3,1,4
103778,4,3,1019,464,1483
103787,1,999,53,49,102
103787,2,1,53,49,102
103811,1,999,1404,159,1563
103811,2,1,1404,159,1563
103893,1,999,319,1499,1818
103893,2,1,319,1499,1818
103909,1,999,424,1541,1965
103909,2,1,424,1541,1965
103927,1,999,343,1050,1393
103927,2,1,343,1050,1393
103945,1,999,74,275,349
103945,2,1,74,275,349
103954,1,999,7,118,125
103954,2,1,7,118,125
103963,1,999,2399,153,2552
103963,2,1,2399,153,2552
104090,1,999,429,2259,2688
104090,2,1,429,2259,2688
104151,1,999,37016,39422,76438
104151,2,1,29401,30803,60204
104151,4,3,7615,8619,16234
104160,1,999,5265,7188,12453
104160,2,1,5265,7188,12453
104179,1,999,20283,22500,42783
104179,2,1,15690,17212,32902
104179,4,3,4593,5288,9881
104188,1,999,127,206,333
104188,2,1,127,206,333
104294,1,999,47,357,404
104294,2,1,47,357,404
104346,1,999,6901,8128,15029
104346,2,1,6901,8128,15029
104364,1,999,438,715,1153
104364,2,1,438,715,1153
104391,1,999,14,76,90
104391,2,1,14,76,90
104425,1,999,9152,5481,14633
104425,2,1,9152,5481,14633
104434,1,999,7,101,108
104434,2,1,7,101,108
104443,1,999,30,275,305
104443,2,1,30,275,305
104504,1,999,72,237,309
104504,2,1,72,237,309
104531,1,999,2303,1207,3510
104531,2,1,1895,821,2716
104531,4,3,408,386,794
104568,1,999,40,385,425
104568,2,1,40,385,425
104577,1,999,4705,5542,10247
104577,2,1,4705,5542,10247
104586,1,999,1454,328,1782
104586,2,1,1420,313,1733
104586,4,3,34,15,49
104665,1,999,18,13,31
104665,2,1,5,4,9
104665,4,3,13,9,22
104708,1,999,14940,17438,32378
104708,2,1,14940,17438,32378
104717,1,999,12799,40219,53018
104717,2,1,7355,22746,30101
104717,4,3,5444,17473,22917
104805,1,999,422,1340,1762
104805,2,1,422,1340,1762
104911,1,999,16,281,297
104911,2,1,16,281,297
104984,1,999,134,627,761
104984,2,1,134,627,761
105118,1,999,264,782,1046
105118,2,1,264,782,1046
105127,1,999,9,145,154
105127,2,1,9,145,154
105145,1,999,6574,7585,14159
105145,2,1,6574,7585,14159
105154,1,999,19622,22137,41759
105154,2,1,19622,22137,41759
105163,1,999,718,178,896
105163,2,1,718,178,896
105172,1,999,1046,348,1394
105172,2,1,1046,348,1394
105206,1,999,3649,5973,9622
105206,2,1,3649,5973,9622
105215,1,999,3199,129,3328
105215,2,1,3199,129,3328
105297,1,999,949,1880,2829
105297,2,1,949,1880,2829
105330,1,999,9889,15924,25813
105330,2,1,8043,11543,19586
105330,4,3,1846,4381,6227
105349,1,999,3397,6076,9473
105349,2,1,3397,6076,9473
105367,1,999,729,2153,2882
105367,2,1,357,801,1158
105367,4,3,372,1352,1724
105428,1,999,7995,12252,20247
105428,2,1,7995,12252,20247
105482,1,999,56,192,248
105482,2,1,56,192,248
105516,1,999,3479,4655,8134
105516,2,1,2495,3224,5719
105516,4,3,984,1431,2415
105525,1,999,27965,33047,61012
105525,2,1,27965,33047,61012
105534,1,999,496,1885,2381
105534,2,1,496,1885,2381
105543,1,999,355,1440,1795
105543,2,1,355,1440,1795
105589,1,999,545,915,1460
105589,2,1,410,577,987
105589,4,3,135,338,473
105659,1,999,1104,10,1114
105659,2,1,1104,10,1114
105668,1,999,19448,33186,52634
105668,2,1,19448,33186,52634
105677,1,999,59,2,61
105677,2,1,59,2,61
105701,1,999,10,103,113
105701,2,1,10,103,113
105747,1,999,8038,9454,17492
105747,2,1,8038,9454,17492
105792,1,999,3714,5776,9490
105792,2,1,3714,5776,9490
105899,1,999,230,205,435
105899,2,1,230,205,435
105987,1,999,379,704,1083
105987,2,1,379,704,1083
106041,1,999,3021,68,3089
106041,2,1,3021,68,3089
106102,1,999,1935,2878,4813
106102,2,1,1334,2275,3609
106102,4,3,601,603,1204
106111,1,999,37,457,494
106111,2,1,37,457,494
106148,1,999,5488,7950,13438
106148,2,1,5488,7950,13438
106245,1,999,6267,10311,16578
106245,2,1,5096,7939,13035
106245,4,3,1171,2372,3543
106263,1,999,1008,2244,3252
106263,2,1,261,1003,1264
106263,4,3,747,1241,1988
106281,1,999,38,41,79
106281,2,1,38,41,79
106306,1,999,661,387,1048
106306,2,1,661,387,1048
106315,1,999,4,50,54
106315,2,1,4,50,54
106324,1,999,2,62,64
106324,2,1,2,62,64
106342,1,999,294,356,650
106342,2,1,294,356,650
106351,1,999,113,69,182
106351,2,1,113,69,182
106360,1,999,6,49,55
106360,2,1,6,49,55
106397,1,999,11649,11041,22690
106397,2,1,9111,8581,17692
106397,4,3,2538,2460,4998
106412,1,999,1761,2497,4258
106412,2,1,1688,2363,4051
106412,4,3,73,134,207
106449,1,999,2722,4123,6845
106449,2,1,2722,4123,6845
106458,1,999,6157,10131,16288
106458,2,1,4903,7009,11912
106458,4,3,1254,3122,4376
106467,1,999,4874,6044,10918
106467,2,1,4600,5377,9977
106467,4,3,274,667,941
106485,1,999,1820,2684,4504
106485,2,1,1761,2527,4288
106485,4,3,59,157,216
106494,1,999,5,92,97
106494,2,1,5,92,97
106546,1,999,192,1007,1199
106546,2,1,192,1007,1199
106607,1,999,10,90,100
106607,2,1,10,90,100
106625,1,999,1362,2102,3464
106625,2,1,1362,2102,3464
106704,1,999,5578,8188,13766
106704,2,1,5097,6488,11585
106704,4,3,481,1700,2181
106713,1,999,444,376,820
106713,2,1,444,376,820
106795,1,999,696,1565,2261
106795,2,1,696,1565,2261
106810,1,999,104,76,180
106810,2,1,104,76,180
106829,1,999,202,141,343
106829,2,1,202,141,343
106883,1,999,752,1540,2292
106883,2,1,752,1540,2292
106892,1,999,34,439,473
106892,2,1,34,439,473
106908,1,999,23,311,334
106908,2,1,23,311,334
106980,1,999,1956,3166,5122
106980,2,1,1956,3166,5122
106999,1,999,713,1602,2315
106999,2,1,713,1602,2315
107044,1,999,3004,4394,7398
107044,2,1,2139,2429,4568
107044,4,3,865,1965,2830
107071,1,999,1837,2626,4463
107071,2,1,1636,1923,3559
107071,4,3,201,703,904
107080,1,999,654,829,1483
107080,2,1,649,827,1476
107080,4,3,5,2,7
107099,1,999,7,108,115
107099,2,1,7,108,115
107123,1,999,12,60,72
107123,2,1,12,60,72
107141,1,999,1069,1362,2431
107141,2,1,851,1082,1933
107141,4,3,218,280,498
107211,1,999,5,33,38
107211,2,1,5,33,38
107220,1,999,26,582,608
107220,2,1,26,582,608
107275,1,999,2,35,37
107275,2,1,2,35,37
107293,1,999,7,121,128
107293,2,1,7,121,128
107318,1,999,1498,2308,3806
107318,2,1,1498,2308,3806
107327,1,999,1110,2058,3168
107327,2,1,1110,2058,3168
107363,1,999,12,90,102
107363,2,1,12,90,102
107442,1,999,65,42,107
107442,2,1,65,42,107
107460,1,999,1317,1904,3221
107460,2,1,1317,1904,3221
107488,1,999,185,132,317
107488,2,1,185,132,317
107512,1,999,710,818,1528
107512,2,1,710,818,1528
107521,1,999,863,1218,2081
107521,2,1,863,1218,2081
107549,1,999,570,1322,1892
107549,2,1,570,1322,1892
107558,1,999,322,337,659
107558,2,1,322,337,659
107585,1,999,1323,1965,3288
107585,2,1,1323,1965,3288
107600,1,999,267,469,736
107600,2,1,267,469,736
107619,1,999,1025,1995,3020
107619,2,1,1025,1995,3020
107637,1,999,1517,2555,4072
107637,2,1,1517,2555,4072
107655,1,999,5,51,56
107655,2,1,5,51,56
107664,1,999,5338,9847,15185
107664,2,1,5338,9847,15185
107725,1,999,809,1420,2229
107725,2,1,809,1420,2229
107743,1,999,541,1054,1595
107743,2,1,541,1054,1595
107789,1,999,11,118,129
107789,2,1,11,118,129
107831,1,999,5,170,175
107831,2,1,5,170,175
107877,1,999,311,398,709
107877,2,1,311,398,709
107974,1,999,689,1898,2587
107974,2,1,689,1898,2587
107983,1,999,1508,2410,3918
107983,2,1,1335,1912,3247
107983,4,3,173,498,671
107992,1,999,1881,1870,3751
107992,2,1,1881,1870,3751
108065,1,999,1,28,29
108065,2,1,1,28,29
108092,1,999,3837,5249,9086
108092,2,1,3837,5249,9086
108199,1,999,7718,8689,16407
108199,2,1,7718,8689,16407
108232,1,999,8942,12107,21049
108232,2,1,6475,8442,14917
108232,4,3,2467,3665,6132
108250,1,999,1256,277,1533
108250,2,1,1256,277,1533
108269,1,999,51,71,122
108269,4,3,51,71,122
108348,1,999,52,42,94
108348,2,1,52,42,94
108649,1,999,11,297,308
108649,2,1,11,297,308
108667,1,999,5532,7204,12736
108667,2,1,5532,7204,12736
108807,1,999,9113,8854,17967
108807,2,1,9113,8854,17967
108852,1,999,93,115,208
108852,2,1,93,115,208
108861,1,999,58,36,94
108861,4,3,58,36,94
108870,1,999,225,113,338
108870,4,3,225,113,338
108977,1,999,2,48,50
108977,2,1,2,48,50
109013,1,999,46,47,93
109013,2,1,46,47,93
109040,1,999,499,1637,2136
109040,2,1,499,1637,2136
109086,1,999,52,83,135
109086,2,1,34,66,100
109086,4,3,18,17,35
109208,1,999,26578,29066,55644
109208,2,1,26578,29066,55644
109332,1,999,261,745,1006
109332,2,1,261,745,1006
109350,1,999,8496,12158,20654
109350,2,1,8496,12158,20654
109651,1,999,1226,909,2135
109651,2,1,1121,836,1957
109651,4,3,105,73,178
109721,1,999,628,435,1063
109721,2,1,628,435,1063
109730,1,999,99,27,126
109730,2,1,99,27,126
109785,1,999,3703,6855,10558
109785,2,1,2015,3343,5358
109785,4,3,1688,3512,5200
109819,1,999,12964,15167,28131
109819,2,1,12964,15167,28131
109891,1,999,1,32,33
109891,2,1,1,32,33
109907,1,999,3353,5058,8411
109907,2,1,3353,5058,8411
109934,1,999,28,349,377
109934,2,1,28,349,377
110051,1,999,228,376,604
110051,2,1,195,297,492
110051,4,3,33,79,112
110060,1,999,178,125,303
110060,2,1,92,93,185
110060,4,3,86,32,118
110097,1,999,3229,3429,6658
110097,2,1,1770,2615,4385
110097,4,3,1459,814,2273
110185,1,999,776,644,1420
110185,2,1,747,617,1364
110185,4,3,29,27,56
110194,1,999,377,2,379
110194,2,1,377,2,379
110219,1,999,136,975,1111
110219,2,1,136,975,1111
110246,1,999,8785,9650,18435
110246,2,1,8785,9650,18435
110307,1,999,63,273,336
110307,4,3,63,273,336
110316,1,999,415,1068,1483
110316,2,1,41,83,124
110316,4,3,374,985,1359
110334,1,999,10141,11736,21877
110334,2,1,10141,11736,21877
110361,1,999,1718,3216,4934
110361,2,1,1416,2295,3711
110361,4,3,302,921,1223
110370,1,999,716,1127,1843
110370,2,1,552,865,1417
110370,4,3,164,262,426
110398,1,999,665,711,1376
110398,4,3,665,711,1376
110404,1,999,1507,737,2244
110404,2,1,618,364,982
110404,4,3,889,373,1262
110413,1,999,1873,2604,4477
110413,2,1,1135,1478,2613
110413,4,3,738,1126,1864
110422,1,999,11281,8913,20194
110422,2,1,10564,8300,18864
110422,4,3,717,613,1330
110468,1,999,1360,3296,4656
110468,2,1,72,133,205
110468,4,3,1288,3163,4451
110486,1,999,3412,6164,9576
110486,2,1,2844,4824,7668
110486,4,3,568,1340,1908
110495,1,999,3102,5932,9034
110495,2,1,2605,4709,7314
110495,4,3,497,1223,1720
110510,1,999,7137,12592,19729
110510,2,1,5879,10170,16049
110510,4,3,1258,2422,3680
110529,1,999,12972,10245,23217
110529,2,1,11866,8891,20757
110529,4,3,1106,1354,2460
110538,1,999,8523,9369,17892
110538,2,1,8023,8385,16408
110538,4,3,500,984,1484
110547,1,999,5055,10869,15924
110547,2,1,4130,8061,12191
110547,4,3,925,2808,3733
110556,1,999,8918,12837,21755
110556,2,1,7861,10568,18429
110556,4,3,1057,2269,3326
110565,1,999,16017,22534,38551
110565,2,1,13846,18775,32621
110565,4,3,2171,3759,5930
110574,1,999,6580,10299,16879
110574,2,1,5201,7956,13157
110574,4,3,1379,2343,3722
110583,1,999,14929,22362,37291
110583,2,1,12481,18108,30589
110583,4,3,2448,4254,6702
110592,1,999,9240,14275,23515
110592,2,1,7221,10786,18007
110592,4,3,2019,3489,5508
110608,1,999,16000,22028,38028
110608,2,1,13619,17743,31362
110608,4,3,2381,4285,6666
110617,1,999,12800,18073,30873
110617,2,1,11093,14848,25941
110617,4,3,1707,3225,4932
110635,1,999,19150,19820,38970
110635,2,1,13279,14978,28257
110635,4,3,5871,4842,10713
110644,1,999,15056,18457,33513
110644,2,1,11762,14919,26681
110644,4,3,3294,3538,6832
110653,1,999,14297,14940,29237
110653,2,1,11229,12577,23806
110653,4,3,3068,2363,5431
110662,1,999,19442,22046,41488
110662,2,1,12842,16213,29055
110662,4,3,6600,5833,12433
110671,1,999,10246,10649,20895
110671,2,1,8881,9417,18298
110671,4,3,1365,1232,2597
110680,1,999,15431,15366,30797
110680,2,1,12214,13012,25226
110680,4,3,3217,2354,5571
110699,1,999,1155,2011,3166
110699,4,3,1155,2011,3166
110705,1,999,11754,12948,24702
110705,2,1,10025,11380,21405
110705,4,3,1729,1568,3297
110714,1,999,8787,9509,18296
110714,2,1,7925,8700,16625
110714,4,3,862,809,1671
110778,1,999,115,435,550
110778,4,3,115,435,550
110875,1,999,2,136,138
110875,2,1,2,136,138
110918,1,999,16,14,30
110918,2,1,16,14,30
110945,1,999,703,1226,1929
110945,2,1,703,1226,1929
111009,1,999,725,601,1326
111009,2,1,725,601,1326
111054,1,999,25,204,229
111054,2,1,25,204,229
111081,1,999,697,718,1415
111081,2,1,466,440,906
111081,4,3,231,278,509
111188,1,999,716,120,836
111188,2,1,716,120,836
111391,1,999,466,570,1036
111391,4,3,466,570,1036
111434,1,999,4120,7477,11597
111434,2,1,4120,7477,11597
111461,1,999,21601,14090,35691
111461,2,1,21601,14090,35691
111513,1,999,25,354,379
111513,2,1,25,354,379
111638,1,999,176,671,847
111638,2,1,176,671,847
111708,1,999,348,94,442
111708,2,1,348,94,442
111717,1,999,555,512,1067
111717,2,1,555,512,1067
111726,1,999,382,148,530
111726,2,1,382,148,530
111744,1,999,326,18,344
111744,2,1,326,18,344
111762,1,999,134,88,222
111762,2,1,134,88,222
111771,1,999,228,123,351
111771,2,1,228,123,351
111799,1,999,154,191,345
111799,2,1,154,191,345
111887,1,999,13846,17634,31480
111887,2,1,13846,17634,31480
111896,1,999,4448,6718,11166
111896,2,1,4448,6718,11166
111920,1,999,10329,12681,23010
111920,2,1,10329,12681,23010
111939,1,999,12003,17054,29057
111939,2,1,12003,17054,29057
111948,1,999,2932,4001,6933
111948,2,1,2021,2817,4838
111948,4,3,911,1184,2095
111966,1,999,113,191,304
111966,2,1,104,163,267
111966,4,3,9,28,37
112075,1,999,1463,2028,3491
112075,2,1,615,948,1563
112075,4,3,848,1080,1928
112084,1,999,245,239,484
112084,2,1,244,216,460
112084,4,3,1,23,24
112127,1,999,40,56,96
112127,4,3,40,56,96
112172,1,999,7847,9488,17335
112172,2,1,7847,9488,17335
112190,1,999,22483,26698,49181
112190,2,1,22483,26698,49181
112251,1,999,1183,1334,2517
112251,4,3,1183,1334,2517
112260,1,999,704,564,1268
112260,2,1,687,561,1248
112260,4,3,17,3,20
112288,1,999,91,504,595
112288,2,1,91,504,595
112312,1,999,237,174,411
112312,2,1,27,48,75
112312,4,3,210,126,336
112367,1,999,841,1745,2586
112367,2,1,841,1745,2586
112385,1,999,8828,9692,18520
112385,2,1,8828,9692,18520
112394,1,999,202,39,241
112394,2,1,202,39,241
112446,1,999,826,153,979
112446,2,1,715,118,833
112446,4,3,111,35,146
112455,1,999,15,121,136
112455,2,1,15,121,136
112525,1,999,996,1785,2781
112525,4,3,996,1785,2781
112561,1,999,3567,2677,6244
112561,2,1,3567,2677,6244
112570,1,999,300,112,412
112570,2,1,300,112,412
112686,1,999,4765,8011,12776
112686,2,1,4765,8011,12776
112783,1,999,159,924,1083
112783,2,1,159,924,1083
112826,1,999,5120,7917,13037
112826,2,1,5120,7917,13037
113096,1,999,10379,13670,24049
113096,2,1,10379,13670,24049
113111,1,999,4145,4384,8529
113111,2,1,4145,4384,8529
113193,1,999,8314,8763,17077
113193,2,1,8314,8763,17077
113218,1,999,6860,8572,15432
113218,2,1,6860,8572,15432
113227,1,999,7,284,291
113227,2,1,7,284,291
113236,1,999,9956,12364,22320
113236,2,1,9956,12364,22320
113333,1,999,20228,20678,40906
113333,2,1,20228,20678,40906
113397,1,999,44,732,776
113397,2,1,44,732,776
113449,1,999,57,238,295
113449,2,1,57,238,295
113537,1,999,18,26,44
113537,2,1,14,13,27
113537,4,3,4,13,17
113573,1,999,5808,7346,13154
113573,2,1,5808,7346,13154
113582,1,999,29,364,393
113582,2,1,29,364,393
113607,1,999,10418,6136,16554
113607,2,1,8934,4831,13765
113607,4,3,1484,1305,2789
113634,1,999,16137,18286,34423
113634,2,1,16137,18286,34423
113698,1,999,664,1706,2370
113698,2,1,424,1151,1575
113698,4,3,240,555,795
113704,1,999,73,17,90
113704,4,3,73,17,90
113856,1,999,30027,30624,60651
113856,2,1,30027,30624,60651
113908,1,999,43,1146,1189
113908,2,1,43,1146,1189
113953,1,999,3491,5330,8821
113953,2,1,3491,5330,8821
113980,1,999,18615,21102,39717
113980,2,1,18615,21102,39717
114044,1,999,6,114,120
114044,2,1,6,114,120
114062,1,999,17,291,308
114062,2,1,17,291,308
114071,1,999,41,659,700
114071,2,1,41,659,700
114080,1,999,25,611,636
114080,2,1,25,611,636
114114,1,999,44,165,209
114114,4,3,44,165,209
114123,1,999,209,714,923
114123,2,1,209,714,923
114266,1,999,9535,8798,18333
114266,2,1,9535,8798,18333
114354,1,999,622,5303,5925
114354,2,1,622,5303,5925
114372,1,999,29,153,182
114372,2,1,29,153,182
114390,1,999,117,1100,1217
114390,2,1,117,1100,1217
114415,1,999,55,544,599
114415,2,1,55,544,599
114433,1,999,1669,2136,3805
114433,2,1,1669,2136,3805
114460,1,999,16,381,397
114460,2,1,16,381,397
114549,1,999,640,1536,2176
114549,4,3,640,1536,2176
114585,1,999,126,231,357
114585,4,3,126,231,357
114628,1,999,24,134,158
114628,2,1,24,134,158
114716,1,999,15529,17600,33129
114716,2,1,15529,17600,33129
114734,1,999,30,38,68
114734,4,3,30,38,68
114761,1,999,6,119,125
114761,2,1,6,119,125
114789,1,999,17048,18352,35400
114789,2,1,17048,18352,35400
114813,1,999,1598,2719,4317
114813,2,1,1293,1756,3049
114813,4,3,305,963,1268
114840,1,999,2939,1531,4470
114840,4,3,2939,1531,4470
114859,1,999,15602,16878,32480
114859,2,1,15602,16878,32480
114895,1,999,21,196,217
114895,2,1,21,196,217
114938,1,999,10006,6485,16491
114938,2,1,10006,6485,16491
114947,1,999,1373,2497,3870
114947,2,1,1373,2497,3870
115001,1,999,10945,13659,24604
115001,2,1,10945,13659,24604
115010,1,999,112,299,411
115010,2,1,112,299,411
115083,1,999,2210,2746,4956
115083,2,1,263,334,597
115083,4,3,1947,2412,4359
115126,1,999,9368,11432,20800
115126,2,1,9368,11432,20800
115214,1,999,140,122,262
115214,4,3,140,122,262
115296,1,999,13260,17839,31099
115296,2,1,13260,17839,31099
115357,1,999,3,53,56
115357,2,1,3,53,56
115393,1,999,8611,8226,16837
115393,2,1,8611,8226,16837
115409,1,999,490,278,768
115409,2,1,490,278,768
115454,1,999,583,1305,1888
115454,2,1,583,1305,1888
115472,1,999,836,1787,2623
115472,2,1,836,1787,2623
115490,1,999,784,1525,2309
115490,2,1,784,1525,2309
115515,1,999,684,1390,2074
115515,2,1,684,1390,2074
115533,1,999,751,1716,2467
115533,2,1,751,1716,2467
115658,1,999,22,236,258
115658,2,1,22,236,258
115728,1,999,343,1040,1383
115728,2,1,210,592,802
115728,4,3,133,448,581
115746,1,999,191,531,722
115746,4,3,191,531,722
115755,1,999,3745,4492,8237
115755,2,1,3498,4043,7541
115755,4,3,247,449,696
115773,1,999,252,1039,1291
115773,2,1,192,903,1095
115773,4,3,60,136,196
115861,1,999,4951,6395,11346
115861,2,1,4951,6395,11346
115931,1,999,433,473,906
115931,2,1,433,473,906
116040,1,999,268,1494,1762
116040,2,1,268,1494,1762
116226,1,999,32,478,510
116226,2,1,32,478,510
116350,1,999,19,130,149
116350,2,1,19,130,149
116439,1,999,10766,13238,24004
116439,2,1,10766,13238,24004
116466,1,999,2126,490,2616
116466,2,1,2126,490,2616
116475,1,999,1337,366,1703
116475,2,1,1337,366,1703
116484,1,999,1529,468,1997
116484,2,1,1529,468,1997
116563,1,999,7,185,192
116563,2,1,7,185,192
116624,1,999,102,54,156
116624,4,3,102,54,156
116712,1,999,536,1503,2039
116712,2,1,86,250,336
116712,4,3,450,1253,1703
116846,1,999,133,124,257
116846,2,1,52,66,118
116846,4,3,81,58,139
117052,1,999,8943,12643,21586
117052,2,1,8943,12643,21586
117104,1,999,320,282,602
117104,2,1,320,282,602
117113,1,999,1453,1423,2876
117113,2,1,1453,1423,2876
117140,1,999,3706,6027,9733
117140,2,1,2000,3029,5029
117140,4,3,1706,2998,4704
117168,1,999,172,272,444
117168,2,1,159,248,407
117168,4,3,13,24,37
117195,1,999,2741,3751,6492
117195,2,1,2741,3751,6492
117238,1,999,28,191,219
117238,2,1,28,191,219
117247,1,999,10099,12490,22589
117247,2,1,10099,12490,22589
117274,1,999,3514,1379,4893
117274,2,1,3514,1379,4893
117520,1,999,251,198,449
117520,4,3,251,198,449
117557,1,999,350,312,662
117557,2,1,86,115,201
117557,4,3,264,197,461
117575,1,999,163,87,250
117575,2,1,65,26,91
117575,4,3,98,61,159
117627,1,999,1118,1477,2595
117627,2,1,780,1006,1786
117627,4,3,338,471,809
117636,1,999,1915,3099,5014
117636,2,1,397,1042,1439
117636,4,3,1518,2057,3575
117645,1,999,18931,20988,39919
117645,2,1,18931,20988,39919
117672,1,999,308,226,534
117672,4,3,308,226,534
117690,1,999,6153,9079,15232
117690,2,1,6153,9079,15232
117706,1,999,14508,17534,32042
117706,2,1,14508,17534,32042
117715,1,999,3663,8590,12253
117715,2,1,3663,8590,12253
117724,1,999,13254,11523,24777
117724,2,1,13254,11523,24777
117733,1,999,12501,17180,29681
117733,2,1,12501,17180,29681
117751,1,999,996,673,1669
117751,2,1,565,542,1107
117751,4,3,431,131,562
117788,1,999,13184,17950,31134
117788,2,1,13184,17950,31134
117803,1,999,91,303,394
117803,2,1,91,303,394
117867,1,999,6421,10239,16660
117867,2,1,6421,10239,16660
117894,1,999,7282,9324,16606
117894,2,1,7282,9324,16606
117928,1,999,1095,997,2092
117928,2,1,1087,988,2075
117928,4,3,8,9,17
117946,1,999,4184,5750,9934
117946,2,1,2657,3538,6195
117946,4,3,1527,2212,3739
117955,1,999,11,252,263
