UNITID,EFFYLEV,LSTUDY,EFYTOTLT,EFYTOTLM,EFYTOTLW
104364,2,1,1383,618,765
104391,1,999,122,17,105
104391,2,1,122,17,105
104425,1,999,16192,10499,5693
104425,2,1,16192,10499,5693
104434,1,999,76,3,73
104434,2,1,76,3,73
104443,1,999,291,26,265
104443,2,1,291,26,265
104504,1,999,318,83,235
104504,2,1,318,83,235
104531,1,999,2754,1920,834
104531,2,1,2754,1920,834
104568,1,999,374,26,348
104568,2,1,374,26,348
104577,1,999,10426,5038,5388
104577,2,1,10426,5038,5388
104586,1,999,1846,1509,337
104586,2,1,1791,1470,321
104586,4,3,55,39,16
104665,1,999,32,22,10
104665,2,1,10,7,3
104665,4,3,22,15,7
104708,1,999,32962,15393,17569
104708,2,1,32962,15393,17569
104717,1,999,65509,15494,50015
104717,2,1,38583,9126,29457
104717,4,3,26926,6368,20558
104805,1,999,3411,874,2537
104805,2,1,3411,874,2537
104911,1,999,449,29,420
104911,2,1,449,29,420
104984,1,999,487,93,394
104984,2,1,487,93,394
105118,1,999,836,202,634
105118,2,1,836,202,634
105127,1,999,212,17,195
105127,2,1,212,17,195
105145,1,999,13266,6047,7219
105145,2,1,13266,6047,7219
105154,1,999,41836,19739,22097
105154,2,1,41836,19739,22097
105163,1,999,918,731,187
105163,2,1,918,731,187
105172,1,999,1361,1018,343
105172,2,1,1361,1018,343
105206,1,999,9558,3586,5972
105206,2,1,9558,3586,5972
105215,1,999,4455,4282,173
105215,2,1,4455,4282,173
105297,1,999,3121,1097,2024
105297,2,1,3121,1097,2024
105330,1,999,28561,11135,17426
105330,2,1,22253,9269,12984
105330,4,3,6308,1866,4442
105349,1,999,8054,3070,4984
105349,2,1,8054,3070,4984
105367,1,999,2653,657,1996
105367,2,1,973,292,681
105367,4,3,1680,365,1315
105428,1,999,21392,8486,12906
105428,2,1,21392,8486,12906
105482,1,999,205,56,149
105482,2,1,205,56,149
105516,1,999,8276,3616,4660
105516,2,1,5861,2607,3254
105516,4,3,2415,1009,1406
105525,1,999,56916,25779,31137
105525,2,1,56916,25779,31137
105534,1,999,2847,639,2208
105534,2,1,2847,639,2208
105543,1,999,1856,349,1507
105543,2,1,1856,349,1507
105589,1,999,1526,564,962
105589,2,1,1037,418,619
105589,4,3,489,146,343
105659,1,999,1077,1067,10
105659,2,1,1077,1067,10
105668,1,999,57746,21797,35949
105668,2,1,57746,21797,35949
105677,1,999,70,69,1
105677,2,1,70,69,1
105701,1,999,116,8,108
105701,2,1,116,8,108
105747,1,999,17702,8367,9335
105747,2,1,17702,8367,9335
105792,1,999,10186,4110,6076
105792,2,1,10186,4110,6076
105899,1,999,514,288,226
105899,2,1,514,288,226
105987,1,999,940,350,590
105987,2,1,940,350,590
106041,1,999,4352,4254,98
106041,2,1,4352,4254,98
106102,1,999,4961,1977,2984
106102,2,1,3798,1393,2405
106102,4,3,1163,584,579
106111,1,999,385,36,349
106111,2,1,385,36,349
106148,1,999,12973,5513,7460
106148,2,1,12973,5513,7460
