UNITID,EFFYLEV,LSTUDY,EFYTOTLT,EFYTOTLM,EFYTOTLW
139144,4,3,218,65,153
139153,1,999,845,364,481
139153,2,1,640,281,359
139153,4,3,205,83,122
139199,1,999,3480,479,3001
139199,2,1,2230,237,1993
139199,4,3,1250,242,1008
139205,1,999,1156,544,612
139205,2,1,1156,544,612
139214,1,999,371,21,350
139214,2,1,371,21,350
139250,1,999,4560,1442,3118
139250,2,1,4560,1442,3118
139278,1,999,12507,3976,8531
139278,2,1,12507,3976,8531
139287,1,999,285,187,98
139287,2,1,285,187,98
139311,1,999,8693,2618,6075
139311,2,1,8365,2426,5939
139311,4,3,328,192,136
139348,1,999,397,209,188
139348,4,3,397,209,188
139357,1,999,6889,2307,4582
139357,2,1,6889,2307,4582
139366,1,999,10321,4186,6135
139366,2,1,8693,3523,5170
139366,4,3,1628,663,965
139384,1,999,10411,3738,6673
139384,2,1,10411,3738,6673
139393,1,999,1356,609,747
139393,2,1,1293,577,716
139393,4,3,63,32,31
139463,1,999,7328,2868,4460
139463,2,1,7328,2868,4460
139506,1,999,309,117,192
139506,2,1,309,117,192
139533,1,999,7245,3587,3658
139533,2,1,7245,3587,3658
139579,1,999,2504,697,1807
139579,2,1,1644,442,1202
139579,4,3,860,255,605
139621,1,999,4067,1715,2352
139621,2,1,4067,1715,2352
139630,1,999,855,411,444
139630,2,1,855,411,444
139658,1,999,14751,6595,8156
139658,2,1,7735,3488,4247
139658,4,3,7016,3107,3909
139700,1,999,7269,2703,4566
139700,2,1,7269,2703,4566
139719,1,999,4351,1787,2564
139719,2,1,4048,1708,2340
139719,4,3,303,79,224
139746,1,999,109,17,92
139746,2,1,109,17,92
139755,1,999,23017,16380,6637
139755,2,1,15175,10507,4668
139755,4,3,7842,5873,1969
139764,1,999,3832,1358,2474
139764,2,1,3422,1266,2156
139764,4,3,410,92,318
139773,1,999,11565,5294,6271
139773,2,1,11565,5294,6271
139861,1,999,7723,3070,4653
139861,2,1,6295,2543,3752
139861,4,3,1428,527,901
139904,1,999,2227,1089,1138
139904,2,1,2227,1089,1138
139931,1,999,23026,11115,11911
139931,2,1,19599,9895,9704
139931,4,3,3427,1220,2207
139940,1,999,37712,15084,22628
139940,2,1,27824,11206,16618
139940,4,3,9888,3878,6010
139959,1,999,38822,16246,22576
139959,2,1,28891,12209,16682
139959,4,3,9931,4037,5894
139968,1,999,6430,2213,4217
139968,2,1,6430,2213,4217
139986,1,999,9892,3281,6611
139986,2,1,9892,3281,6611
139995,1,999,320,154,166
139995,2,1,320,154,166
140003,1,999,775,117,658
140003,2,1,775,117,658
140012,1,999,11010,4445,6565
140012,2,1,11010,4445,6565
140085,1,999,7666,3585,4081
140085,2,1,7666,3585,4081
140146,1,999,470,277,193
140146,4,3,470,277,193
140164,1,999,28407,11767,16640
140164,2,1,25834,10680,15154
140164,4,3,2573,1087,1486
140234,1,999,1129,436,693
140234,2,1,898,372,526
140234,4,3,231,64,167
140243,1,999,6921,2480,4441
140243,2,1,6921,2480,4441
140252,1,999,2874,1534,1340
140252,2,1,1050,502,548
140252,4,3,1824,1032,792
140304,1,999,12199,4186,8013
140304,2,1,12199,4186,8013
140322,1,999,8442,2891,5551
140322,2,1,8442,2891,5551
140331,1,999,20402,8130,12272
140331,2,1,20402,8130,12272
140340,1,999,941,345,596
140340,2,1,941,345,596
140401,1,999,2646,922,1724
140401,2,1,560,82,478
140401,4,3,2086,840,1246
140447,1,999,9530,3056,6474
140447,2,1,5119,1599,3520
140447,4,3,4411,1457,2954
140483,1,999,4563,2128,2435
140483,2,1,4563,2128,2435
140553,1,999,2721,2714,7
140553,2,1,2721,2714,7
140562,1,999,329,103,226
140562,4,3,329,103,226
140599,1,999,4164,1539,2625
140599,2,1,4164,1539,2625
140669,1,999,6914,2942,3972
140669,2,1,6222,2734,3488
140669,4,3,692,208,484
140678,1,999,4296,1775,2521
140678,2,1,4296,1775,2521
140696,1,999,1330,510,820
140696,2,1,1248,508,740
140696,4,3,82,2,80
140720,1,999,1064,406,658
140720,2,1,1064,406,658
140818,1,999,3113,720,2393
140818,2,1,1345,408,937
140818,4,3,1768,312,1456
140827,1,999,144,57,87
140827,2,1,144,57,87
140872,1,999,1466,638,828
140872,2,1,1347,608,739
140872,4,3,119,30,89
140942,1,999,9750,3416,6334
140942,2,1,9750,3416,6334
140951,1,999,11379,4456,6923
140951,2,1,9027,3459,5568
140951,4,3,2352,997,1355
140960,1,999,4700,2084,2616
140960,2,1,4548,2045,2503
140960,4,3,152,39,113
140988,1,999,1975,980,995
140988,2,1,1940,968,972
140988,4,3,35,12,23
140997,1,999,2867,1099,1768
140997,2,1,2867,1099,1768
141006,1,999,4407,2060,2347
141006,2,1,4407,2060,2347
141015,1,999,371,180,191
141015,2,1,371,180,191
141060,1,999,2228,0,2228
141060,2,1,2228,0,2228
141097,1,999,6678,5160,1518
141097,2,1,5699,4570,1129
141097,4,3,979,590,389
141158,1,999,2671,862,1809
141158,2,1,2671,862,1809
141167,1,999,1383,448,935
141167,2,1,1101,397,704
141167,4,3,282,51,231
141185,1,999,837,388,449
141185,2,1,837,388,449
141237,1,999,848,432,416
141237,2,1,848,432,416
141255,1,999,9008,3097,5911
141255,2,1,9008,3097,5911
141264,1,999,15095,5765,9330
141264,2,1,12295,5042,7253
141264,4,3,2800,723,2077
141307,1,999,1740,544,1196
141307,2,1,1740,544,1196
141325,1,999,814,41,773
141325,2,1,732,28,704
141325,4,3,82,13,69
141334,1,999,13314,5042,8272
141334,2,1,11189,4444,6745
141334,4,3,2125,598,1527
141361,1,999,862,376,486
141361,2,1,862,376,486
141468,1,999,3128,1151,1977
141468,2,1,3128,1151,1977
141486,1,999,3815,1377,2438
141486,2,1,2776,1069,1707
141486,4,3,1039,308,731
141565,1,999,4788,1913,2875
141565,2,1,4114,1647,2467
141565,4,3,674,266,408
141574,1,999,23854,10613,13241
141574,2,1,16468,7579,8889
141574,4,3,7386,3034,4352
141608,1,999,168,41,127
141608,2,1,168,41,127
141644,1,999,10331,4715,5616
141644,2,1,8697,3999,4698
141644,4,3,1634,716,918
141680,1,999,6519,3546,2973
141680,2,1,6519,3546,2973
141796,1,999,13304,5556,7748
141796,2,1,13304,5556,7748
141802,1,999,1787,695,1092
141802,2,1,1787,695,1092
141811,1,999,10697,4263,6434
141811,2,1,10697,4263,6434
141839,1,999,5773,2019,3754
141839,2,1,5773,2019,3754
141848,1,999,288,14,274
141848,2,1,288,14,274
141936,1,999,55,19,36
141936,4,3,55,19,36
141945,1,999,244,63,181
141945,2,1,244,63,181
141981,1,999,1811,556,1255
141981,2,1,1811,556,1255
141990,1,999,3705,1433,2272
141990,2,1,3705,1433,2272
142054,1,999,1083,182,901
142054,2,1,1083,182,901
142090,1,999,202,106,96
142090,2,1,202,106,96
142115,1,999,29520,12577,16943
142115,2,1,22520,10463,12057
142115,4,3,7000,2114,4886
142179,1,999,1420,615,805
142179,2,1,1420,615,805
142276,1,999,18620,8038,10582
142276,2,1,15414,6656,8758
142276,4,3,3206,1382,1824
142285,1,999,15087,8071,7016
142285,2,1,10962,5873,5089
142285,4,3,4125,2198,1927
142294,1,999,1074,443,631
142294,2,1,1048,438,610
142294,4,3,26,5,21
142328,1,999,5816,2294,3522
142328,2,1,5816,2294,3522
142337,1,999,913,617,296
142337,2,1,913,617,296
142407,1,999,70,2,68
142407,2,1,70,2,68
142416,1,999,35,2,33
142416,2,1,35,2,33
142443,1,999,8675,3482,5193
142443,2,1,8675,3482,5193
142461,1,999,2561,1022,1539
142461,2,1,1599,658,941
142461,4,3,962,364,598
142489,1,999,113,3,110
142489,2,1,113,3,110
142522,1,999,24584,11164,13420
142522,2,1,24584,11164,13420
142559,1,999,13727,5265,8462
142559,2,1,13727,5265,8462
142832,1,999,988,218,770
142832,4,3,988,218,770
142869,1,999,44,2,42
142869,2,1,44,2,42
142878,1,999,74,4,70
142878,2,1,74,4,70
142887,1,999,511,264,247
142887,2,1,511,264,247
143048,1,999,3599,1151,2448
143048,2,1,2799,911,1888
143048,4,3,800,240,560
143075,1,999,698,160,538
143075,2,1,698,160,538
143084,1,999,2692,1117,1575
143084,2,1,2692,1117,1575
143118,1,999,8004,2169,5835
143118,2,1,2956,1054,1902
143118,4,3,5048,1115,3933
143181,1,999,80,8,72
143181,2,1,80,8,72
143215,1,999,24685,11699,12986
143215,2,1,24685,11699,12986
143233,1,999,82,40,42
143233,4,3,82,40,42
143279,1,999,13098,5899,7199
143279,2,1,13098,5899,7199
143288,1,999,624,255,369
143288,2,1,624,255,369
143297,1,999,289,29,260
143297,2,1,265,28,237
143297,4,3,24,1,23
143303,1,999,20,1,19
143303,2,1,20,1,19
143358,1,999,6206,2897,3309
143358,2,1,5273,2457,2816
143358,4,3,933,440,493
143376,1,999,547,14,533
143376,2,1,547,14,533
143464,1,999,201,3,198
143464,2,1,201,3,198
143473,1,999,91,1,90
143473,2,1,91,1,90
143482,1,999,80,2,78
143482,2,1,80,2,78
143491,1,999,140,1,139
143491,2,1,140,1,139
143516,1,999,109,1,108
143516,2,1,109,1,108
143534,1,999,142,2,140
143534,2,1,142,2,140
143543,1,999,201,11,190
143543,2,1,201,11,190
143552,1,999,166,8,158
143552,2,1,166,8,158
143613,1,999,4843,1693,3150
143613,2,1,4843,1693,3150
143659,1,999,541,311,230
143659,4,3,541,311,230
143695,1,999,69,1,68
143695,2,1,69,1,68
143853,1,999,2239,879,1360
143853,4,3,2239,879,1360
143978,1,999,3425,652,2773
143978,4,3,3425,652,2773
144005,1,999,8981,2729,6252
144005,2,1,6768,2011,4757
144005,4,3,2213,718,1495
144014,1,999,248,136,112
144014,4,3,248,136,112
144050,1,999,17645,9930,7715
144050,2,1,5402,2792,2610
144050,4,3,12243,7138,5105
144157,1,999,10320,3558,6762
144157,2,1,10320,3558,6762
144166,1,999,13065,4636,8429
144166,2,1,13065,4636,8429
144175,1,999,7791,2544,5247
144175,2,1,7791,2544,5247
144184,1,999,20587,9096,11491
144184,2,1,20587,9096,11491
144193,1,999,14819,5850,8969
144193,2,1,14819,5850,8969
144209,1,999,16512,8058,8454
144209,2,1,16512,8058,8454
144218,1,999,19590,8361,11229
144218,2,1,19590,8361,11229
144281,1,999,13173,6122,7051
144281,2,1,12566,5925,6641
144281,4,3,607,197,410
144351,1,999,6513,1781,4732
144351,2,1,1463,628,835
144351,4,3,5050,1153,3897
144467,1,999,1860,1089,771
144467,2,1,1860,1089,771
144485,1,999,1811,1422,389
144485,2,1,1811,1422,389
144564,1,999,9418,3960,5458
144564,2,1,9418,3960,5458
144573,1,999,94,6,88
144573,2,1,94,6,88
144616,1,999,54,2,52
144616,2,1,54,2,52
144740,1,999,29862,14019,15843
144740,2,1,18654,8511,10143
144740,4,3,11208,5508,5700
144759,1,999,44709,22510,22199
144759,2,1,44418,22413,22005
144759,4,3,291,97,194
144795,1,999,196,8,188
144795,2,1,196,8,188
144865,1,999,48128,22092,26036
144865,2,1,48128,22092,26036
144883,1,999,1223,523,700
144883,2,1,1223,523,700
144892,1,999,13376,5630,7746
144892,2,1,10976,4654,6322
144892,4,3,2400,976,1424
144944,1,999,19357,8580,10777
144944,2,1,19357,8580,10777
144962,1,999,3758,1426,2332
144962,2,1,3444,1301,2143
144962,4,3,314,125,189
144971,1,999,832,363,469
144971,2,1,832,363,469
145099,1,999,256,14,242
145099,2,1,256,14,242
145239,1,999,497,104,393
145239,2,1,497,104,393
145275,1,999,428,193,235
145275,4,3,428,193,235
145309,1,999,71,24,47
145309,2,1,71,24,47
145336,1,999,7440,2193,5247
145336,2,1,3894,1258,2636
145336,4,3,3546,935,2611
145354,1,999,81,5,76
145354,2,1,81,5,76
145372,1,999,2027,922,1105
145372,2,1,1594,795,799
145372,4,3,433,127,306
145406,1,999,410,21,389
145406,2,1,410,21,389
145424,1,999,136,4,132
145424,2,1,136,4,132
145433,1,999,159,12,147
145433,2,1,159,12,147
145460,1,999,1390,326,1064
145460,2,1,1253,306,947
145460,4,3,137,20,117
145497,1,999,560,78,482
145497,2,1,550,68,482
145497,4,3,10,10,0
145521,1,999,3972,1351,2621
145521,2,1,3972,1351,2621
145558,1,999,1939,911,1028
145558,4,3,1939,911,1028
145600,1,999,31221,14023,17198
145600,2,1,18583,8932,9651
145600,4,3,12638,5091,7547
145619,1,999,10152,3367,6785
145619,2,1,4828,1858,2970
145619,4,3,5324,1509,3815
145628,1,999,640,225,415
145628,4,3,640,225,415
145637,1,999,47146,25234,21912
145637,2,1,32790,17995,14795
145637,4,3,14356,7239,7117
145646,1,999,2108,884,1224
145646,2,1,2108,884,1224
145682,1,999,19573,8497,11076
145682,2,1,19573,8497,11076
145691,1,999,908,468,440
145691,2,1,908,468,440
145707,1,999,2725,880,1845
145707,2,1,2725,880,1845
145725,1,999,8654,5526,3128
145725,2,1,2819,1970,849
145725,4,3,5835,3556,2279
145770,1,999,2022,595,1427
145770,2,1,489,157,332
145770,4,3,1533,438,1095
145813,1,999,23785,10297,13488
145813,2,1,19847,8909,10938
145813,4,3,3938,1388,2550
145831,1,999,8315,3790,4525
145831,2,1,8315,3790,4525
145886,1,999,98,14,84
145886,4,3,98,14,84
146010,1,999,2144,901,1243
146010,2,1,2144,901,1243
146205,1,999,19035,7171,11864
146205,2,1,19035,7171,11864
146241,1,999,1872,1028,844
146241,4,3,1872,1028,844
146278,1,999,4231,1734,2497
146278,2,1,4231,1734,2497
146296,1,999,31847,14749,17098
146296,2,1,31847,14749,17098
146339,1,999,1535,655,880
146339,2,1,1315,574,741
146339,4,3,220,81,139
146348,1,999,10765,4382,6383
146348,2,1,10765,4382,6383
146366,1,999,9566,3910,5656
146366,2,1,9566,3910,5656
146384,1,999,12907,5268,7639
146384,4,3,12907,5268,7639
146393,1,999,3436,909,2527
146393,2,1,3436,909,2527
146418,1,999,7588,3470,4118
146418,2,1,7588,3470,4118
146427,1,999,1429,584,845
146427,2,1,1429,584,845
146454,1,999,91,4,87
146454,2,1,91,4,87
146472,1,999,31045,14132,16913
146472,2,1,31045,14132,16913
146481,1,999,1533,616,917
146481,2,1,1507,605,902
146481,4,3,26,11,15
146490,1,999,905,535,370
146490,4,3,905,535,370
146506,1,999,21523,13345,8178
146506,2,1,21523,13345,8178
146533,1,999,395,47,348
146533,2,1,395,47,348
146603,1,999,12323,5589,6734
146603,2,1,12323,5589,6734
146612,1,999,7740,3082,4658
146612,2,1,5120,2221,2899
146612,4,3,2620,861,1759
146621,1,999,68,0,68
146621,2,1,68,0,68
146667,1,999,1260,626,634
146667,2,1,736,351,385
146667,4,3,524,275,249
146676,1,999,1508,587,921
146676,2,1,1508,587,921
146685,1,999,14666,6084,8582
146685,2,1,14666,6084,8582
146700,1,999,2376,1743,633
146700,2,1,2376,1743,633
146719,1,999,18190,6602,11588
146719,2,1,10972,4029,6943
146719,4,3,7218,2573,4645
146728,1,999,299,145,154
146728,4,3,299,145,154
146755,1,999,299,51,248
146755,2,1,299,51,248
146791,1,999,899,420,479
146791,2,1,899,420,479
146807,1,999,86,16,70
146807,2,1,86,16,70
146816,1,999,212,35,177
146816,2,1,212,35,177
146825,1,999,560,203,357
146825,2,1,560,203,357
146977,1,999,286,136,150
146977,4,3,286,136,150
147004,1,999,11541,5095,6446
147004,2,1,11541,5095,6446
147013,1,999,4116,1656,2460
147013,2,1,2828,1238,1590
147013,4,3,1288,418,870
147031,1,999,141,53,88
147031,4,3,141,53,88
147129,1,999,585,65,520
147129,2,1,585,65,520
147165,1,999,980,194,786
147165,2,1,980,194,786
147244,1,999,2692,1064,1628
147244,2,1,2580,1014,1566
147244,4,3,112,50,62
147341,1,999,1375,652,723
147341,2,1,1375,652,723
147369,1,999,4136,2403,1733
147369,2,1,3366,1912,1454
147369,4,3,770,491,279
147378,1,999,31301,14822,16479
147378,2,1,31301,14822,16479
147396,1,999,105,98,7
147396,2,1,105,98,7
147411,1,999,8335,3483,4852
147411,2,1,8335,3483,4852
147439,1,999,117,6,111
147439,2,1,117,6,111
147536,1,999,9773,2146,7627
147536,2,1,2089,561,1528
147536,4,3,7684,1585,6099
147590,1,999,1006,469,537
147590,2,1,151,51,100
147590,4,3,855,418,437
147642,1,999,127,9,118
147642,2,1,127,9,118
147660,1,999,3336,1501,1835
147660,2,1,2899,1297,1602
147660,4,3,437,204,233
147679,1,999,3777,1369,2408
147679,2,1,2491,950,1541
147679,4,3,1286,419,867
147697,1,999,223,141,82
147697,4,3,223,141,82
147703,1,999,27287,12891,14396
147703,2,1,19512,9596,9916
147703,4,3,7775,3295,4480
147749,1,999,1243,279,964
147749,2,1,1243,279,964
147767,1,999,23634,12126,11508
147767,2,1,10802,5107,5695
147767,4,3,12832,7019,5813
147776,1,999,14818,6035,8783
147776,2,1,11536,4942,6594
147776,4,3,3282,1093,2189
147800,1,999,27138,11311,15827
147800,2,1,27138,11311,15827
147819,1,999,101,3,98
147819,2,1,101,3,98
147828,1,999,6448,2029,4419
147828,2,1,3569,1297,2272
147828,4,3,2879,732,2147
147916,1,999,17840,8728,9112
147916,2,1,17840,8728,9112
147970,1,999,281,16,265
147970,2,1,281,16,265
148007,1,999,12010,4795,7215
148007,2,1,12010,4795,7215
148016,1,999,571,275,296
148016,2,1,571,275,296
148098,1,999,78,4,74
148098,2,1,78,4,74
148131,1,999,2781,903,1878
148131,2,1,1399,592,807
148131,4,3,1382,311,1071
148140,1,999,626,264,362
148140,2,1,626,264,362
148177,1,999,4153,1765,2388
148177,2,1,4153,1765,2388
148256,1,999,14698,6770,7928
148256,2,1,14698,6770,7928
148292,1,999,7559,3359,4200
148292,2,1,7559,3359,4200
148335,1,999,5661,2324,3337
148335,2,1,4866,2009,2857
148335,4,3,795,315,480
148380,1,999,16326,7135,9191
148380,2,1,16326,7135,9191
148399,1,999,1215,230,985
148399,2,1,1215,230,985
148405,1,999,2460,712,1748
148405,2,1,1091,412,679
148405,4,3,1369,300,1069
148487,1,999,8224,2739,5485
148487,2,1,4613,1604,3009
148487,4,3,3611,1135,2476
148496,1,999,4408,1235,3173
148496,2,1,2067,673,1394
148496,4,3,2341,562,1779
148511,1,999,2175,542,1633
148511,2,1,93,34,59
148511,4,3,2082,508,1574
148575,1,999,612,64,548
148575,2,1,423,50,373
148575,4,3,189,14,175
148584,1,999,4344,1063,3281
148584,2,1,2001,564,1437
148584,4,3,2343,499,1844
148593,1,999,147,13,134
148593,2,1,147,13,134
148627,1,999,5805,1643,4162
148627,2,1,3467,1060,2407
148627,4,3,2338,583,1755
148654,1,999,6269,2932,3337
148654,2,1,3693,1732,1961
148654,4,3,2576,1200,1376
148672,1,999,4661,1822,2839
148672,2,1,4661,1822,2839
148724,1,999,60,28,32
148724,4,3,60,28,32
148821,1,999,7312,3353,3959
148821,2,1,7312,3353,3959
148849,1,999,120,61,59
148849,2,1,120,61,59
148876,1,999,2095,502,1593
148876,2,1,2095,502,1593
148885,1,999,220,209,11
148885,4,3,220,209,11
148937,1,999,6494,3146,3348
148937,2,1,6494,3146,3348
148955,1,999,169,12,157
148955,2,1,169,12,157
148982,1,999,342,89,253
148982,4,3,342,89,253
148991,1,999,4135,1976,2159
148991,2,1,4135,1976,2159
149019,1,999,203,47,156
149019,2,1,203,47,156
149028,1,999,292,20,272
149028,2,1,240,18,222
149028,4,3,52,2,50
149204,1,999,96,3,93
149204,2,1,96,3,93
149222,1,999,22814,12678,10136
149222,2,1,17653,10078,7575
149222,4,3,5161,2600,2561
149231,1,999,16484,7471,9013
149231,2,1,12712,5991,6721
149231,4,3,3772,1480,2292
149310,1,999,745,399,346
149310,2,1,745,399,346
149329,1,999,77,77,0
149329,2,1,60,60,0
149329,4,3,17,17,0
149365,1,999,15724,4903,10821
149365,2,1,15724,4903,10821
149499,1,999,40,2,38
149499,2,1,40,2,38
149505,1,999,1631,568,1063
149505,2,1,1631,568,1063
149514,1,999,3633,2236,1397
149514,2,1,1418,671,747
149514,4,3,2215,1565,650
149532,1,999,23343,10388,12955
149532,2,1,23343,10388,12955
149550,1,999,370,12,358
149550,2,1,370,12,358
149639,1,999,1236,498,738
149639,2,1,189,90,99
149639,4,3,1047,408,639
149727,1,999,19233,8404,10829
149727,2,1,19233,8404,10829
149763,1,999,353,54,299
149763,2,1,305,48,257
149763,4,3,48,6,42
149772,1,999,14649,7413,7236
149772,2,1,11842,6289,5553
149772,4,3,2807,1124,1683
149781,1,999,3354,1635,1719
149781,2,1,2502,1231,1271
149781,4,3,852,404,448
149842,1,999,28292,12593,15699
149842,2,1,28292,12593,15699
150048,1,999,705,219,486
150048,2,1,705,219,486
150066,1,999,3047,1368,1679
150066,2,1,2191,955,1236
150066,4,3,856,413,443
150075,1,999,22,2,20
150075,2,1,22,2,20
150136,1,999,25777,11540,14237
150136,2,1,20010,9537,10473
150136,4,3,5767,2003,3764
150145,1,999,2547,900,1647
150145,2,1,2172,732,1440
150145,4,3,375,168,207
150163,1,999,4983,2039,2944
150163,2,1,3968,1629,2339
150163,4,3,1015,410,605
150172,1,999,1452,735,717
150172,2,1,1179,606,573
150172,4,3,273,129,144
150215,1,999,245,90,155
150215,4,3,245,90,155
150251,1,999,347,17,330
150251,2,1,347,17,330
150288,1,999,448,393,55
150288,4,3,448,393,55
150303,1,999,127,6,121
150303,2,1,127,6,121
150400,1,999,2416,1042,1374
150400,2,1,2416,1042,1374
150428,1,999,110,2,108
150428,2,1,110,2,108
150437,1,999,103,1,102
150437,2,1,103,1,102
150455,1,999,1353,600,753
150455,2,1,1201,542,659
150455,4,3,152,58,94
150534,1,999,3109,1237,1872
150534,2,1,2912,1182,1730
150534,4,3,197,55,142
150604,1,999,1149,567,582
150604,2,1,1149,567,582
150640,1,999,21,5,16
150640,2,1,21,5,16
150668,1,999,1106,429,677
150668,2,1,1053,422,631
150668,4,3,53,7,46
150677,1,999,2055,1203,852
150677,2,1,1648,923,725
150677,4,3,407,280,127
150695,1,999,143,4,139
150695,2,1,143,4,139
150710,1,999,180,65,115
150710,2,1,180,65,115
150756,1,999,1015,445,570
150756,2,1,1015,445,570
150765,1,999,116,3,113
150765,2,1,116,3,113
150774,1,999,496,320,176
150774,2,1,496,320,176
150853,1,999,294,12,282
150853,2,1,294,12,282
150941,1,999,1372,641,731
150941,2,1,1224,565,659
150941,4,3,148,76,72
150978,1,999,12912,5417,7495
150978,2,1,12912,5417,7495
150987,1,999,35187,15241,19946
150987,2,1,35187,15241,19946
150996,1,999,10073,3733,6340
150996,2,1,10073,3733,6340
151005,1,999,13077,5002,8075
151005,2,1,13077,5002,8075
151014,1,999,8007,3053,4954
151014,2,1,8007,3053,4954
151023,1,999,12787,5970,6817
151023,2,1,12787,5970,6817
151032,1,999,17071,7369,9702
151032,2,1,17071,7369,9702
151041,1,999,8501,3752,4749
151041,2,1,8501,3752,4749
151050,1,999,10883,5380,5503
151050,2,1,10883,5380,5503
151069,1,999,9226,3843,5383
151069,2,1,9226,3843,5383
151078,1,999,6216,2371,3845
151078,2,1,6216,2371,3845
151087,1,999,16054,6974,9080
151087,2,1,16054,6974,9080
151096,1,999,5379,1986,3393
151096,2,1,5379,1986,3393
151102,1,999,17023,7563,9460
151102,2,1,15788,7071,8717
151102,4,3,1235,492,743
151111,1,999,38249,16358,21891
151111,2,1,28114,12060,16054
151111,4,3,10135,4298,5837
151157,1,999,470,88,382
151157,2,1,470,88,382
151166,1,999,4735,1136,3599
151166,2,1,4735,1136,3599
151193,1,999,428,48,380
151193,2,1,428,48,380
151209,1,999,372,87,285
151209,2,1,372,87,285
151236,1,999,520,105,415
151236,2,1,520,105,415
151245,1,999,495,74,421
151245,2,1,495,74,421
151263,1,999,6412,1998,4414
151263,2,1,4815,1537,3278
151263,4,3,1597,461,1136
151290,1,999,6195,2635,3560
151290,2,1,5596,2364,3232
151290,4,3,599,271,328
151306,1,999,13542,5338,8204
151306,2,1,12464,5090,7374
151306,4,3,1078,248,830
151324,1,999,15240,7197,8043
151324,2,1,12215,6087,6128
151324,4,3,3025,1110,1915
151333,1,999,3966,1380,2586
151333,2,1,3758,1289,2469
151333,4,3,208,91,117
151342,1,999,10666,4229,6437
151342,2,1,9606,3883,5723
151342,4,3,1060,346,714
151351,1,999,47743,23969,23774
151351,2,1,35946,17994,17952
151351,4,3,11797,5975,5822
151360,1,999,7830,2527,5303
151360,2,1,6891,2217,4674
151360,4,3,939,310,629
151379,1,999,9000,3638,5362
151379,2,1,7747,3238,4509
151379,4,3,1253,400,853
151388,1,999,4325,1449,2876
151388,2,1,4164,1416,2748
151388,4,3,161,33,128
151458,1,999,621,201,420
151458,2,1,621,201,420
151467,1,999,530,119,411
151467,2,1,530,119,411
151494,1,999,1576,1239,337
151494,2,1,1576,1239,337
151500,1,999,1243,774,469
151500,2,1,1243,774,469
151519,1,999,17914,10571,7343
151519,2,1,17582,10369,7213
151519,4,3,332,202,130
151537,1,999,93,11,82
151537,2,1,93,11,82
151564,1,999,63,1,62
151564,2,1,63,1,62
151607,1,999,134,5,129
151607,2,1,134,5,129
151616,1,999,1417,187,1230
151616,2,1,1417,187,1230
151625,1,999,888,181,707
151625,2,1,888,181,707
151652,1,999,421,25,396
151652,2,1,421,25,396
151661,1,999,3085,2951,134
151661,2,1,3085,2951,134
151777,1,999,1334,635,699
151777,2,1,1312,629,683
151777,4,3,22,6,16
151786,1,999,2983,1057,1926
151786,2,1,2566,910,1656
151786,4,3,417,147,270
151801,1,999,24215,8488,15727
151801,2,1,16280,5657,10623
151801,4,3,7935,2831,5104
151810,1,999,1407,489,918
151810,2,1,1311,465,846
151810,4,3,96,24,72
151829,1,999,180,11,169
151829,2,1,180,11,169
151865,1,999,181,79,102
151865,4,3,181,79,102
151874,1,999,188,79,109
151874,2,1,188,79,109
151944,1,999,2147,401,1746
151944,2,1,2147,401,1746
151962,1,999,182,93,89
151962,2,1,182,93,89
152044,1,999,165,71,94
152044,2,1,165,71,94
152080,1,999,12910,7178,5732
152080,2,1,8729,4679,4050
152080,4,3,4181,2499,1682
152099,1,999,3362,1493,1869
152099,2,1,3109,1370,1739
152099,4,3,253,123,130
152150,1,999,83,5,78
152150,2,1,83,5,78
152220,1,999,920,58,862
152220,2,1,920,58,862
152248,1,999,12386,5424,6962
152248,2,1,10745,4814,5931
152248,4,3,1641,610,1031
152266,1,999,6012,2621,3391
152266,2,1,5900,2575,3325
152266,4,3,112,46,66
152275,1,999,367,113,254
152275,2,1,367,113,254
152309,1,999,135,15,120
152309,2,1,135,15,120
152318,1,999,2047,1634,413
152318,2,1,1920,1533,387
152318,4,3,127,101,26
152327,1,999,104,10,94
152327,2,1,104,10,94
152336,1,999,2581,736,1845
152336,2,1,2131,641,1490
152336,4,3,450,95,355
152363,1,999,1120,462,658
152363,2,1,1099,456,643
152363,4,3,21,6,15
152381,1,999,1928,134,1794
152381,2,1,1661,100,1561
152381,4,3,267,34,233
152390,1,999,1608,7,1601
152390,2,1,1608,7,1601
152415,1,999,916,144,772
152415,2,1,916,144,772
152424,1,999,375,55,320
152424,2,1,375,55,320
152451,1,999,274,205,69
152451,4,3,274,205,69
152497,1,999,273,14,259
152497,2,1,273,14,259
152530,1,999,3137,1376,1761
152530,2,1,2959,1282,1677
152530,4,3,178,94,84
152567,1,999,1743,1184,559
152567,2,1,1736,1178,558
152567,4,3,7,6,1
152600,1,999,4495,2102,2393
152600,2,1,3133,1453,1680
152600,4,3,1362,649,713
152628,1,999,147,7,140
152628,2,1,147,7,140
152637,1,999,23958,13722,10236
152637,2,1,23958,13722,10236
152673,1,999,876,876,0
152673,2,1,876,876,0
152798,1,999,700,47,653
152798,2,1,508,40,468
152798,4,3,192,7,185
152822,1,999,1217,399,818
152822,2,1,1217,399,818
152992,1,999,1385,550,835
152992,2,1,1268,534,734
152992,4,3,117,16,101
153001,1,999,3860,1243,2617
